Renewables.ninja Solar PV - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060,,,,,
time,local_time,output,direct,diffuse,temperature
UTC,America/La_Paz,kW,kW/m2,kW/m2,ºC
2017-01-01 00:00,2016-12-31 20:00,0,0,0,28.777
2017-01-01 01:00,2016-12-31 21:00,0,0,0,27.819
2017-01-01 02:00,2016-12-31 22:00,0,0,0,26.901
2017-01-01 03:00,2016-12-31 23:00,0,0,0,26.063
2017-01-01 04:00,2017-01-01 00:00,0,0,0,25.337
2017-01-01 05:00,2017-01-01 01:00,0,0,0,24.708
2017-01-01 06:00,2017-01-01 02:00,0,0,0,24.183
2017-01-01 07:00,2017-01-01 03:00,0,0,0,23.757
2017-01-01 08:00,2017-01-01 04:00,0,0,0,23.423
2017-01-01 09:00,2017-01-01 05:00,0,0,0.005,23.139
2017-01-01 10:00,2017-01-01 06:00,0.104,0.057,0.079,24.375
2017-01-01 11:00,2017-01-01 07:00,0.300,0.249,0.118,27.339
2017-01-01 12:00,2017-01-01 08:00,0.464,0.447,0.141,30.639
2017-01-01 13:00,2017-01-01 09:00,0.582,0.603,0.165,33.419
2017-01-01 14:00,2017-01-01 10:00,0.642,0.665,0.206,35.341
2017-01-01 15:00,2017-01-01 11:00,0.646,0.620,0.266,36.476
2017-01-01 16:00,2017-01-01 12:00,0.615,0.516,0.322,36.981
2017-01-01 17:00,2017-01-01 13:00,0.537,0.350,0.365,36.871
2017-01-01 18:00,2017-01-01 14:00,0.444,0.221,0.358,36.398
2017-01-01 19:00,2017-01-01 15:00,0.330,0.118,0.304,35.610
2017-01-01 20:00,2017-01-01 16:00,0.214,0.056,0.217,34.528
2017-01-01 21:00,2017-01-01 17:00,0.104,0.021,0.119,33.106
2017-01-01 22:00,2017-01-01 18:00,0.013,0.003,0.026,31.359
2017-01-01 23:00,2017-01-01 19:00,0,0,0,29.775
2017-01-02 00:00,2017-01-01 20:00,0,0,0,28.709
2017-01-02 01:00,2017-01-01 21:00,0,0,0,27.817
2017-01-02 02:00,2017-01-01 22:00,0,0,0,27.003
2017-01-02 03:00,2017-01-01 23:00,0,0,0,26.215
2017-01-02 04:00,2017-01-02 00:00,0,0,0,25.426
2017-01-02 05:00,2017-01-02 01:00,0,0,0,24.716
2017-01-02 06:00,2017-01-02 02:00,0,0,0,24.100
2017-01-02 07:00,2017-01-02 03:00,0,0,0,23.576
2017-01-02 08:00,2017-01-02 04:00,0,0,0,23.161
2017-01-02 09:00,2017-01-02 05:00,0,0.001,0.005,22.794
2017-01-02 10:00,2017-01-02 06:00,0.122,0.096,0.059,24.253
2017-01-02 11:00,2017-01-02 07:00,0.312,0.294,0.089,27.381
2017-01-02 12:00,2017-01-02 08:00,0.465,0.472,0.116,30.449
2017-01-02 13:00,2017-01-02 09:00,0.589,0.648,0.130,33.092
2017-01-02 14:00,2017-01-02 10:00,0.677,0.794,0.135,35.231
2017-01-02 15:00,2017-01-02 11:00,0.714,0.859,0.144,36.745
2017-01-02 16:00,2017-01-02 12:00,0.724,0.885,0.141,37.719
2017-01-02 17:00,2017-01-02 13:00,0.702,0.860,0.130,38.187
2017-01-02 18:00,2017-01-02 14:00,0.639,0.764,0.119,38.116
2017-01-02 19:00,2017-01-02 15:00,0.521,0.576,0.117,37.404
2017-01-02 20:00,2017-01-02 16:00,0.370,0.367,0.109,36.132
2017-01-02 21:00,2017-01-02 17:00,0.180,0.138,0.095,34.334
2017-01-02 22:00,2017-01-02 18:00,0.024,0.015,0.028,32.248
2017-01-02 23:00,2017-01-02 19:00,0,0,0,30.646
2017-01-03 00:00,2017-01-02 20:00,0,0,0,29.650
2017-01-03 01:00,2017-01-02 21:00,0,0,0,28.789
2017-01-03 02:00,2017-01-02 22:00,0,0,0,27.901
2017-01-03 03:00,2017-01-02 23:00,0,0,0,26.887
2017-01-03 04:00,2017-01-03 00:00,0,0,0,25.966
2017-01-03 05:00,2017-01-03 01:00,0,0,0,25.150
2017-01-03 06:00,2017-01-03 02:00,0,0,0,24.404
2017-01-03 07:00,2017-01-03 03:00,0,0,0,23.754
2017-01-03 08:00,2017-01-03 04:00,0,0,0,23.175
2017-01-03 09:00,2017-01-03 05:00,0,0.001,0.005,22.721
2017-01-03 10:00,2017-01-03 06:00,0.127,0.108,0.053,24.222
2017-01-03 11:00,2017-01-03 07:00,0.327,0.329,0.072,27.707
2017-01-03 12:00,2017-01-03 08:00,0.497,0.550,0.084,30.752
2017-01-03 13:00,2017-01-03 09:00,0.624,0.738,0.094,33.097
2017-01-03 14:00,2017-01-03 10:00,0.705,0.871,0.104,34.984
2017-01-03 15:00,2017-01-03 11:00,0.743,0.939,0.112,36.336
2017-01-03 16:00,2017-01-03 12:00,0.748,0.950,0.114,37.167
2017-01-03 17:00,2017-01-03 13:00,0.717,0.901,0.112,37.467
2017-01-03 18:00,2017-01-03 14:00,0.648,0.786,0.107,37.229
2017-01-03 19:00,2017-01-03 15:00,0.542,0.626,0.096,36.566
2017-01-03 20:00,2017-01-03 16:00,0.389,0.413,0.087,35.436
2017-01-03 21:00,2017-01-03 17:00,0.201,0.182,0.074,33.796
2017-01-03 22:00,2017-01-03 18:00,0.024,0.017,0.026,31.714
2017-01-03 23:00,2017-01-03 19:00,0,0,0,30.102
2017-01-04 00:00,2017-01-03 20:00,0,0,0,29.145
2017-01-04 01:00,2017-01-03 21:00,0,0,0,28.335
2017-01-04 02:00,2017-01-03 22:00,0,0,0,27.608
2017-01-04 03:00,2017-01-03 23:00,0,0,0,26.945
2017-01-04 04:00,2017-01-04 00:00,0,0,0,26.295
2017-01-04 05:00,2017-01-04 01:00,0,0,0,25.604
2017-01-04 06:00,2017-01-04 02:00,0,0,0,25.006
2017-01-04 07:00,2017-01-04 03:00,0,0,0,24.507
2017-01-04 08:00,2017-01-04 04:00,0,0,0,24.056
2017-01-04 09:00,2017-01-04 05:00,0,0,0.004,23.647
2017-01-04 10:00,2017-01-04 06:00,0.083,0.030,0.081,24.364
2017-01-04 11:00,2017-01-04 07:00,0.253,0.154,0.157,26.812
2017-01-04 12:00,2017-01-04 08:00,0.412,0.319,0.196,29.881
2017-01-04 13:00,2017-01-04 09:00,0.523,0.447,0.230,32.446
2017-01-04 14:00,2017-01-04 10:00,0.611,0.573,0.244,34.437
2017-01-04 15:00,2017-01-04 11:00,0.646,0.618,0.262,35.756
2017-01-04 16:00,2017-01-04 12:00,0.657,0.644,0.259,36.510
2017-01-04 17:00,2017-01-04 13:00,0.631,0.610,0.251,36.654
2017-01-04 18:00,2017-01-04 14:00,0.558,0.499,0.245,36.265
2017-01-04 19:00,2017-01-04 15:00,0.444,0.342,0.232,35.331
2017-01-04 20:00,2017-01-04 16:00,0.300,0.184,0.197,33.925
2017-01-04 21:00,2017-01-04 17:00,0.143,0.059,0.126,32.179
2017-01-04 22:00,2017-01-04 18:00,0.017,0.005,0.028,30.293
2017-01-04 23:00,2017-01-04 19:00,0,0,0,28.673
2017-01-05 00:00,2017-01-04 20:00,0,0,0,27.545
2017-01-05 01:00,2017-01-04 21:00,0,0,0,26.682
2017-01-05 02:00,2017-01-04 22:00,0,0,0,25.977
2017-01-05 03:00,2017-01-04 23:00,0,0,0,25.224
2017-01-05 04:00,2017-01-05 00:00,0,0,0,24.525
2017-01-05 05:00,2017-01-05 01:00,0,0,0,23.978
2017-01-05 06:00,2017-01-05 02:00,0,0,0,23.547
2017-01-05 07:00,2017-01-05 03:00,0,0,0,23.197
2017-01-05 08:00,2017-01-05 04:00,0,0,0,22.922
2017-01-05 09:00,2017-01-05 05:00,0,0,0.005,22.696
2017-01-05 10:00,2017-01-05 06:00,0.105,0.062,0.073,23.696
2017-01-05 11:00,2017-01-05 07:00,0.286,0.228,0.121,26.126
2017-01-05 12:00,2017-01-05 08:00,0.453,0.424,0.143,28.829
2017-01-05 13:00,2017-01-05 09:00,0.578,0.592,0.160,31.153
2017-01-05 14:00,2017-01-05 10:00,0.660,0.714,0.174,33.022
2017-01-05 15:00,2017-01-05 11:00,0.700,0.779,0.183,34.383
2017-01-05 16:00,2017-01-05 12:00,0.716,0.821,0.175,35.235
2017-01-05 17:00,2017-01-05 13:00,0.682,0.760,0.177,35.335
2017-01-05 18:00,2017-01-05 14:00,0.594,0.601,0.192,34.710
2017-01-05 19:00,2017-01-05 15:00,0.462,0.392,0.203,33.515
2017-01-05 20:00,2017-01-05 16:00,0.311,0.210,0.180,32.041
2017-01-05 21:00,2017-01-05 17:00,0.156,0.081,0.119,30.423
2017-01-05 22:00,2017-01-05 18:00,0.019,0.007,0.028,28.378
2017-01-05 23:00,2017-01-05 19:00,0,0,0,26.589
2017-01-06 00:00,2017-01-05 20:00,0,0,0,25.362
2017-01-06 01:00,2017-01-05 21:00,0,0,0,24.429
2017-01-06 02:00,2017-01-05 22:00,0,0,0,23.647
2017-01-06 03:00,2017-01-05 23:00,0,0,0,22.936
2017-01-06 04:00,2017-01-06 00:00,0,0,0,22.411
2017-01-06 05:00,2017-01-06 01:00,0,0,0,22.013
2017-01-06 06:00,2017-01-06 02:00,0,0,0,21.644
2017-01-06 07:00,2017-01-06 03:00,0,0,0,21.279
2017-01-06 08:00,2017-01-06 04:00,0,0,0,20.963
2017-01-06 09:00,2017-01-06 05:00,0,0,0.004,20.762
2017-01-06 10:00,2017-01-06 06:00,0.077,0.021,0.081,21.287
2017-01-06 11:00,2017-01-06 07:00,0.234,0.106,0.176,22.644
2017-01-06 12:00,2017-01-06 08:00,0.369,0.197,0.250,24.660
2017-01-06 13:00,2017-01-06 09:00,0.466,0.266,0.312,26.944
2017-01-06 14:00,2017-01-06 10:00,0.549,0.353,0.348,28.720
2017-01-06 15:00,2017-01-06 11:00,0.599,0.416,0.361,29.830
2017-01-06 16:00,2017-01-06 12:00,0.619,0.462,0.350,30.721
2017-01-06 17:00,2017-01-06 13:00,0.594,0.445,0.332,31.448
2017-01-06 18:00,2017-01-06 14:00,0.545,0.416,0.290,31.856
2017-01-06 19:00,2017-01-06 15:00,0.445,0.311,0.254,31.659
2017-01-06 20:00,2017-01-06 16:00,0.290,0.148,0.213,30.819
2017-01-06 21:00,2017-01-06 17:00,0.133,0.042,0.129,29.446
2017-01-06 22:00,2017-01-06 18:00,0.013,0.003,0.025,27.593
2017-01-06 23:00,2017-01-06 19:00,0,0,0,26.172
2017-01-07 00:00,2017-01-06 20:00,0,0,0,25.365
2017-01-07 01:00,2017-01-06 21:00,0,0,0,24.742
2017-01-07 02:00,2017-01-06 22:00,0,0,0,24.152
2017-01-07 03:00,2017-01-06 23:00,0,0,0,23.546
2017-01-07 04:00,2017-01-07 00:00,0,0,0,22.986
2017-01-07 05:00,2017-01-07 01:00,0,0,0,22.448
2017-01-07 06:00,2017-01-07 02:00,0,0,0,22.004
2017-01-07 07:00,2017-01-07 03:00,0,0,0,21.686
2017-01-07 08:00,2017-01-07 04:00,0,0,0,21.417
2017-01-07 09:00,2017-01-07 05:00,0,0,0.004,21.198
