Renewables.ninja Solar PV - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060,,,,,
time,local_time,output,direct,diffuse,temperature
UTC,America/La_Paz,kW,kW/m2,kW/m2,ºC
2016-01-01 00:00,2015-12-31 20:00,0,0,0,28.355
2016-01-01 01:00,2015-12-31 21:00,0,0,0,27.650
2016-01-01 02:00,2015-12-31 22:00,0,0,0,27.111
2016-01-01 03:00,2015-12-31 23:00,0,0,0,26.614
2016-01-01 04:00,2016-01-01 00:00,0,0,0,26.194
2016-01-01 05:00,2016-01-01 01:00,0,0,0,25.885
2016-01-01 06:00,2016-01-01 02:00,0,0,0,25.636
2016-01-01 07:00,2016-01-01 03:00,0,0,0,25.396
2016-01-01 08:00,2016-01-01 04:00,0,0,0,25.203
2016-01-01 09:00,2016-01-01 05:00,0,0,0,25.107
2016-01-01 10:00,2016-01-01 06:00,0.029,0.003,0.045,25.530
2016-01-01 11:00,2016-01-01 07:00,0.121,0.014,0.142,26.901
2016-01-01 12:00,2016-01-01 08:00,0.233,0.038,0.250,28.662
2016-01-01 13:00,2016-01-01 09:00,0.349,0.083,0.351,30.161
2016-01-01 14:00,2016-01-01 10:00,0.438,0.132,0.421,31.377
2016-01-01 15:00,2016-01-01 11:00,0.466,0.140,0.455,32.166
2016-01-01 16:00,2016-01-01 12:00,0.465,0.131,0.464,32.656
2016-01-01 17:00,2016-01-01 13:00,0.413,0.092,0.432,32.810
2016-01-01 18:00,2016-01-01 14:00,0.323,0.050,0.356,32.632
2016-01-01 19:00,2016-01-01 15:00,0.238,0.029,0.271,32.326
2016-01-01 20:00,2016-01-01 16:00,0.157,0.016,0.185,31.932
2016-01-01 21:00,2016-01-01 17:00,0.070,0.006,0.093,31.317
2016-01-01 22:00,2016-01-01 18:00,0.003,0,0.011,29.920
2016-01-01 23:00,2016-01-01 19:00,0,0,0,28.910
2016-01-02 00:00,2016-01-01 20:00,0,0,0,28.219
2016-01-02 01:00,2016-01-01 21:00,0,0,0,27.574
2016-01-02 02:00,2016-01-01 22:00,0,0,0,27.066
2016-01-02 03:00,2016-01-01 23:00,0,0,0,26.653
2016-01-02 04:00,2016-01-02 00:00,0,0,0,26.273
2016-01-02 05:00,2016-01-02 01:00,0,0,0,25.943
2016-01-02 06:00,2016-01-02 02:00,0,0,0,25.633
2016-01-02 07:00,2016-01-02 03:00,0,0,0,25.328
2016-01-02 08:00,2016-01-02 04:00,0,0,0,25.031
2016-01-02 09:00,2016-01-02 05:00,0,0,0,24.767
2016-01-02 10:00,2016-01-02 06:00,0.033,0.003,0.050,25.196
2016-01-02 11:00,2016-01-02 07:00,0.117,0.012,0.139,26.148
2016-01-02 12:00,2016-01-02 08:00,0.191,0.019,0.219,27.601
2016-01-02 13:00,2016-01-02 09:00,0.267,0.030,0.300,29.096
2016-01-02 14:00,2016-01-02 10:00,0.347,0.051,0.381,30.269
2016-01-02 15:00,2016-01-02 11:00,0.426,0.089,0.449,31.269
2016-01-02 16:00,2016-01-02 12:00,0.463,0.118,0.473,32.021
2016-01-02 17:00,2016-01-02 13:00,0.400,0.076,0.430,32.201
2016-01-02 18:00,2016-01-02 14:00,0.305,0.038,0.345,31.826
2016-01-02 19:00,2016-01-02 15:00,0.198,0.015,0.235,31.087
2016-01-02 20:00,2016-01-02 16:00,0.118,0.007,0.148,30.223
2016-01-02 21:00,2016-01-02 17:00,0.044,0.002,0.065,29.271
2016-01-02 22:00,2016-01-02 18:00,0.001,0,0.008,28.179
2016-01-02 23:00,2016-01-02 19:00,0,0,0,27.590
2016-01-03 00:00,2016-01-02 20:00,0,0,0,27.384
2016-01-03 01:00,2016-01-02 21:00,0,0,0,27.156
2016-01-03 02:00,2016-01-02 22:00,0,0,0,26.699
2016-01-03 03:00,2016-01-02 23:00,0,0,0,26.092
2016-01-03 04:00,2016-01-03 00:00,0,0,0,25.538
2016-01-03 05:00,2016-01-03 01:00,0,0,0,25.113
2016-01-03 06:00,2016-01-03 02:00,0,0,0,24.780
2016-01-03 07:00,2016-01-03 03:00,0,0,0,24.508
2016-01-03 08:00,2016-01-03 04:00,0,0,0,24.269
2016-01-03 09:00,2016-01-03 05:00,0,0,0,24.072
2016-01-03 10:00,2016-01-03 06:00,0.030,0.003,0.046,24.432
2016-01-03 11:00,2016-01-03 07:00,0.116,0.012,0.138,25.268
2016-01-03 12:00,2016-01-03 08:00,0.202,0.022,0.227,27.021
2016-01-03 13:00,2016-01-03 09:00,0.275,0.034,0.306,28.902
2016-01-03 14:00,2016-01-03 10:00,0.333,0.045,0.370,30.282
2016-01-03 15:00,2016-01-03 11:00,0.372,0.055,0.412,31.290
2016-01-03 16:00,2016-01-03 12:00,0.382,0.058,0.423,32.005
2016-01-03 17:00,2016-01-03 13:00,0.354,0.050,0.396,32.390
2016-01-03 18:00,2016-01-03 14:00,0.308,0.041,0.346,32.509
2016-01-03 19:00,2016-01-03 15:00,0.253,0.034,0.284,32.450
2016-01-03 20:00,2016-01-03 16:00,0.188,0.028,0.211,32.218
2016-01-03 21:00,2016-01-03 17:00,0.089,0.012,0.110,31.656
2016-01-03 22:00,2016-01-03 18:00,0.006,0.001,0.016,30.297
2016-01-03 23:00,2016-01-03 19:00,0,0,0,29.400
2016-01-04 00:00,2016-01-03 20:00,0,0,0,28.557
2016-01-04 01:00,2016-01-03 21:00,0,0,0,28.214
2016-01-04 02:00,2016-01-03 22:00,0,0,0,28.088
2016-01-04 03:00,2016-01-03 23:00,0,0,0,27.692
2016-01-04 04:00,2016-01-04 00:00,0,0,0,27.107
2016-01-04 05:00,2016-01-04 01:00,0,0,0,26.467
2016-01-04 06:00,2016-01-04 02:00,0,0,0,26.000
2016-01-04 07:00,2016-01-04 03:00,0,0,0,25.700
2016-01-04 08:00,2016-01-04 04:00,0,0,0,25.442
2016-01-04 09:00,2016-01-04 05:00,0,0,0,25.250
2016-01-04 10:00,2016-01-04 06:00,0.013,0.001,0.026,25.474
2016-01-04 11:00,2016-01-04 07:00,0.075,0.004,0.099,26.323
2016-01-04 12:00,2016-01-04 08:00,0.165,0.014,0.194,27.762
2016-01-04 13:00,2016-01-04 09:00,0.271,0.035,0.301,29.266
2016-01-04 14:00,2016-01-04 10:00,0.382,0.080,0.398,30.791
2016-01-04 15:00,2016-01-04 11:00,0.470,0.146,0.454,32.206
2016-01-04 16:00,2016-01-04 12:00,0.496,0.181,0.460,33.269
2016-01-04 17:00,2016-01-04 13:00,0.493,0.203,0.437,34.067
2016-01-04 18:00,2016-01-04 14:00,0.448,0.190,0.387,34.526
2016-01-04 19:00,2016-01-04 15:00,0.380,0.170,0.316,34.672
2016-01-04 20:00,2016-01-04 16:00,0.255,0.092,0.232,34.300
2016-01-04 21:00,2016-01-04 17:00,0.099,0.019,0.116,33.430
2016-01-04 22:00,2016-01-04 18:00,0.006,0.001,0.016,31.794
2016-01-04 23:00,2016-01-04 19:00,0,0,0,30.857
2016-01-05 00:00,2016-01-04 20:00,0,0,0,30.094
2016-01-05 01:00,2016-01-04 21:00,0,0,0,29.226
2016-01-05 02:00,2016-01-04 22:00,0,0,0,28.396
