Renewables.ninja Solar PV - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060,,,,,
time,local_time,output,direct,diffuse,temperature
UTC,America/La_Paz,kW,kW/m2,kW/m2,ºC
2015-01-01 00:00,2014-12-31 20:00,0,0,0,25.870
2015-01-01 01:00,2014-12-31 21:00,0,0,0,25.453
2015-01-01 02:00,2014-12-31 22:00,0,0,0,25.064
2015-01-01 03:00,2014-12-31 23:00,0,0,0,24.704
2015-01-01 04:00,2015-01-01 00:00,0,0,0,24.404
2015-01-01 05:00,2015-01-01 01:00,0,0,0,24.167
2015-01-01 06:00,2015-01-01 02:00,0,0,0,24.005
2015-01-01 07:00,2015-01-01 03:00,0,0,0,23.916
2015-01-01 08:00,2015-01-01 04:00,0,0,0,23.837
2015-01-01 09:00,2015-01-01 05:00,0,0,0,23.758
2015-01-01 10:00,2015-01-01 06:00,0.011,0.001,0.023,23.809
2015-01-01 11:00,2015-01-01 07:00,0.096,0.012,0.114,24.463
2015-01-01 12:00,2015-01-01 08:00,0.216,0.041,0.223,25.622
2015-01-01 13:00,2015-01-01 09:00,0.332,0.088,0.317,26.887
2015-01-01 14:00,2015-01-01 10:00,0.452,0.178,0.384,28.039
2015-01-01 15:00,2015-01-01 11:00,0.543,0.289,0.403,28.966
2015-01-01 16:00,2015-01-01 12:00,0.589,0.370,0.392,29.625
2015-01-01 17:00,2015-01-01 13:00,0.576,0.369,0.374,29.945
2015-01-01 18:00,2015-01-01 14:00,0.528,0.334,0.340,29.950
2015-01-01 19:00,2015-01-01 15:00,0.424,0.228,0.302,29.680
2015-01-01 20:00,2015-01-01 16:00,0.281,0.111,0.237,29.162
2015-01-01 21:00,2015-01-01 17:00,0.138,0.037,0.140,28.373
2015-01-01 22:00,2015-01-01 18:00,0.016,0.003,0.028,27.242
2015-01-01 23:00,2015-01-01 19:00,0,0,0,26.158
2015-01-02 00:00,2015-01-01 20:00,0,0,0,25.485
2015-01-02 01:00,2015-01-01 21:00,0,0,0,25.023
2015-01-02 02:00,2015-01-01 22:00,0,0,0,24.586
2015-01-02 03:00,2015-01-01 23:00,0,0,0,24.150
2015-01-02 04:00,2015-01-02 00:00,0,0,0,23.762
2015-01-02 05:00,2015-01-02 01:00,0,0,0,23.440
2015-01-02 06:00,2015-01-02 02:00,0,0,0,23.230
2015-01-02 07:00,2015-01-02 03:00,0,0,0,23.129
2015-01-02 08:00,2015-01-02 04:00,0,0,0,23.069
2015-01-02 09:00,2015-01-02 05:00,0,0,0,22.958
2015-01-02 10:00,2015-01-02 06:00,0.021,0.005,0.032,23.079
2015-01-02 11:00,2015-01-02 07:00,0.156,0.056,0.138,24.268
2015-01-02 12:00,2015-01-02 08:00,0.331,0.194,0.208,25.575
2015-01-02 13:00,2015-01-02 09:00,0.499,0.399,0.225,26.760
2015-01-02 14:00,2015-01-02 10:00,0.621,0.580,0.223,28.119
2015-01-02 15:00,2015-01-02 11:00,0.682,0.666,0.236,29.051
2015-01-02 16:00,2015-01-02 12:00,0.669,0.606,0.278,29.588
2015-01-02 17:00,2015-01-02 13:00,0.625,0.510,0.307,29.866
2015-01-02 18:00,2015-01-02 14:00,0.523,0.327,0.339,29.757
2015-01-02 19:00,2015-01-02 15:00,0.321,0.087,0.309,29.088
2015-01-02 20:00,2015-01-02 16:00,0.187,0.028,0.206,28.270
2015-01-02 21:00,2015-01-02 17:00,0.072,0.006,0.093,27.436
2015-01-02 22:00,2015-01-02 18:00,0.006,0.001,0.016,26.599
2015-01-02 23:00,2015-01-02 19:00,0,0,0,25.856
2015-01-03 00:00,2015-01-02 20:00,0,0,0,25.593
2015-01-03 01:00,2015-01-02 21:00,0,0,0,25.378
2015-01-03 02:00,2015-01-02 22:00,0,0,0,25.178
2015-01-03 03:00,2015-01-02 23:00,0,0,0,24.979
2015-01-03 04:00,2015-01-03 00:00,0,0,0,24.754
2015-01-03 05:00,2015-01-03 01:00,0,0,0,24.479
2015-01-03 06:00,2015-01-03 02:00,0,0,0,24.163
2015-01-03 07:00,2015-01-03 03:00,0,0,0,23.813
2015-01-03 08:00,2015-01-03 04:00,0,0,0,23.483
2015-01-03 09:00,2015-01-03 05:00,0,0,0,23.169
2015-01-03 10:00,2015-01-03 06:00,0.011,0.001,0.024,22.950
2015-01-03 11:00,2015-01-03 07:00,0.116,0.016,0.133,23.288
2015-01-03 12:00,2015-01-03 08:00,0.204,0.027,0.221,23.818
2015-01-03 13:00,2015-01-03 09:00,0.267,0.033,0.290,24.190
2015-01-03 14:00,2015-01-03 10:00,0.351,0.053,0.372,24.635
2015-01-03 15:00,2015-01-03 11:00,0.421,0.081,0.433,25.249
2015-01-03 16:00,2015-01-03 12:00,0.455,0.100,0.461,25.974
2015-01-03 17:00,2015-01-03 13:00,0.395,0.064,0.420,26.375
2015-01-03 18:00,2015-01-03 14:00,0.308,0.034,0.341,26.376
2015-01-03 19:00,2015-01-03 15:00,0.220,0.017,0.252,26.139
2015-01-03 20:00,2015-01-03 16:00,0.140,0.009,0.169,25.844
2015-01-03 21:00,2015-01-03 17:00,0.057,0.003,0.079,25.580
2015-01-03 22:00,2015-01-03 18:00,0.005,0,0.014,25.198
2015-01-03 23:00,2015-01-03 19:00,0,0,0,24.543
2015-01-04 00:00,2015-01-03 20:00,0,0,0,23.978
2015-01-04 01:00,2015-01-03 21:00,0,0,0,23.672
2015-01-04 02:00,2015-01-03 22:00,0,0,0,23.504
2015-01-04 03:00,2015-01-03 23:00,0,0,0,23.448
2015-01-04 04:00,2015-01-04 00:00,0,0,0,23.360
2015-01-04 05:00,2015-01-04 01:00,0,0,0,23.219
2015-01-04 06:00,2015-01-04 02:00,0,0,0,23.052
2015-01-04 07:00,2015-01-04 03:00,0,0,0,22.863
2015-01-04 08:00,2015-01-04 04:00,0,0,0,22.650
2015-01-04 09:00,2015-01-04 05:00,0,0,0,22.432
2015-01-04 10:00,2015-01-04 06:00,0.021,0.005,0.032,22.475
2015-01-04 11:00,2015-01-04 07:00,0.148,0.050,0.135,23.412
2015-01-04 12:00,2015-01-04 08:00,0.292,0.131,0.222,24.436
2015-01-04 13:00,2015-01-04 09:00,0.435,0.257,0.277,25.504
2015-01-04 14:00,2015-01-04 10:00,0.541,0.376,0.305,27.108
2015-01-04 15:00,2015-01-04 11:00,0.604,0.465,0.313,28.345
2015-01-04 16:00,2015-01-04 12:00,0.670,0.614,0.269,29.050
2015-01-04 17:00,2015-01-04 13:00,0.662,0.627,0.245,29.407
2015-01-04 18:00,2015-01-04 14:00,0.602,0.552,0.228,29.498
2015-01-04 19:00,2015-01-04 15:00,0.496,0.414,0.213,29.334
2015-01-04 20:00,2015-01-04 16:00,0.317,0.188,0.203,28.854
2015-01-04 21:00,2015-01-04 17:00,0.171,0.083,0.131,28.293
2015-01-04 22:00,2015-01-04 18:00,0.020,0.006,0.031,27.575
2015-01-04 23:00,2015-01-04 19:00,0,0,0,26.613
2015-01-05 00:00,2015-01-04 20:00,0,0,0,25.853
2015-01-05 01:00,2015-01-04 21:00,0,0,0,25.158
2015-01-05 02:00,2015-01-04 22:00,0,0,0,24.639
2015-01-05 03:00,2015-01-04 23:00,0,0,0,24.313
2015-01-05 04:00,2015-01-05 00:00,0,0,0,24.131
2015-01-05 05:00,2015-01-05 01:00,0,0,0,24.010
2015-01-05 06:00,2015-01-05 02:00,0,0,0,23.918
2015-01-05 07:00,2015-01-05 03:00,0,0,0,23.803
2015-01-05 08:00,2015-01-05 04:00,0,0,0,23.661
