Renewables.ninja Solar PV - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060,,,,,
time,local_time,output,direct,diffuse,temperature
UTC,America/La_Paz,kW,kW/m2,kW/m2,ºC
2015-01-01 00:00,2014-12-31 20:00,0,0,0,26.209
2015-01-01 01:00,2014-12-31 21:00,0,0,0,25.331
2015-01-01 02:00,2014-12-31 22:00,0,0,0,24.582
2015-01-01 03:00,2014-12-31 23:00,0,0,0,24.044
2015-01-01 04:00,2015-01-01 00:00,0,0,0,23.570
2015-01-01 05:00,2015-01-01 01:00,0,0,0,23.104
2015-01-01 06:00,2015-01-01 02:00,0,0,0,22.700
2015-01-01 07:00,2015-01-01 03:00,0,0,0,22.398
2015-01-01 08:00,2015-01-01 04:00,0,0,0,22.203
2015-01-01 09:00,2015-01-01 05:00,0,0,0.005,22.073
2015-01-01 10:00,2015-01-01 06:00,0.068,0.018,0.075,23.184
2015-01-01 11:00,2015-01-01 07:00,0.234,0.161,0.124,25.807
2015-01-01 12:00,2015-01-01 08:00,0.399,0.345,0.150,28.565
2015-01-01 13:00,2015-01-01 09:00,0.521,0.485,0.181,30.678
2015-01-01 14:00,2015-01-01 10:00,0.598,0.576,0.211,32.218
2015-01-01 15:00,2015-01-01 11:00,0.631,0.605,0.238,33.291
2015-01-01 16:00,2015-01-01 12:00,0.637,0.614,0.243,33.966
2015-01-01 17:00,2015-01-01 13:00,0.615,0.599,0.224,34.238
2015-01-01 18:00,2015-01-01 14:00,0.563,0.551,0.191,34.159
2015-01-01 19:00,2015-01-01 15:00,0.445,0.391,0.179,33.424
2015-01-01 20:00,2015-01-01 16:00,0.296,0.216,0.156,32.226
2015-01-01 21:00,2015-01-01 17:00,0.136,0.064,0.111,30.634
2015-01-01 22:00,2015-01-01 18:00,0.014,0,0.029,28.516
2015-01-01 23:00,2015-01-01 19:00,0,0,0,26.734
2015-01-02 00:00,2015-01-01 20:00,0,0,0,25.651
2015-01-02 01:00,2015-01-01 21:00,0,0,0,24.805
2015-01-02 02:00,2015-01-01 22:00,0,0,0,24.105
2015-01-02 03:00,2015-01-01 23:00,0,0,0,23.505
2015-01-02 04:00,2015-01-02 00:00,0,0,0,23.025
2015-01-02 05:00,2015-01-02 01:00,0,0,0,22.688
2015-01-02 06:00,2015-01-02 02:00,0,0,0,22.410
2015-01-02 07:00,2015-01-02 03:00,0,0,0,22.148
2015-01-02 08:00,2015-01-02 04:00,0,0,0,22.093
2015-01-02 09:00,2015-01-02 05:00,0,0,0.002,21.715
2015-01-02 10:00,2015-01-02 06:00,0.019,0,0.035,20.801
2015-01-02 11:00,2015-01-02 07:00,0.084,0.003,0.107,19.753
2015-01-02 12:00,2015-01-02 08:00,0.181,0.012,0.206,19.457
2015-01-02 13:00,2015-01-02 09:00,0.276,0.028,0.299,19.676
2015-01-02 14:00,2015-01-02 10:00,0.378,0.058,0.390,20.465
2015-01-02 15:00,2015-01-02 11:00,0.450,0.094,0.446,21.476
2015-01-02 16:00,2015-01-02 12:00,0.451,0.098,0.447,22.346
2015-01-02 17:00,2015-01-02 13:00,0.495,0.166,0.439,23.457
2015-01-02 18:00,2015-01-02 14:00,0.527,0.292,0.361,24.635
2015-01-02 19:00,2015-01-02 15:00,0.391,0.154,0.321,24.897
2015-01-02 20:00,2015-01-02 16:00,0.219,0.038,0.228,24.483
2015-01-02 21:00,2015-01-02 17:00,0.085,0.006,0.107,23.699
2015-01-02 22:00,2015-01-02 18:00,0.008,0,0.019,22.299
2015-01-02 23:00,2015-01-02 19:00,0,0,0,20.977
2015-01-03 00:00,2015-01-02 20:00,0,0,0,20.139
2015-01-03 01:00,2015-01-02 21:00,0,0,0,19.385
2015-01-03 02:00,2015-01-02 22:00,0,0,0,18.729
2015-01-03 03:00,2015-01-02 23:00,0,0,0,18.212
2015-01-03 04:00,2015-01-03 00:00,0,0,0,17.751
2015-01-03 05:00,2015-01-03 01:00,0,0,0,17.355
2015-01-03 06:00,2015-01-03 02:00,0,0,0,17.111
2015-01-03 07:00,2015-01-03 03:00,0,0,0,17.027
2015-01-03 08:00,2015-01-03 04:00,0,0,0,16.996
2015-01-03 09:00,2015-01-03 05:00,0,0,0.003,16.907
2015-01-03 10:00,2015-01-03 06:00,0.034,0.001,0.052,17.402
2015-01-03 11:00,2015-01-03 07:00,0.132,0.012,0.151,18.779
2015-01-03 12:00,2015-01-03 08:00,0.297,0.071,0.280,20.366
2015-01-03 13:00,2015-01-03 09:00,0.427,0.160,0.353,21.953
2015-01-03 14:00,2015-01-03 10:00,0.515,0.236,0.397,23.643
2015-01-03 15:00,2015-01-03 11:00,0.556,0.277,0.419,25.290
2015-01-03 16:00,2015-01-03 12:00,0.602,0.367,0.400,26.569
2015-01-03 17:00,2015-01-03 13:00,0.547,0.283,0.406,26.900
2015-01-03 18:00,2015-01-03 14:00,0.429,0.142,0.386,26.419
2015-01-03 19:00,2015-01-03 15:00,0.309,0.063,0.312,25.613
2015-01-03 20:00,2015-01-03 16:00,0.167,0.016,0.191,24.533
2015-01-03 21:00,2015-01-03 17:00,0.065,0.003,0.087,23.432
2015-01-03 22:00,2015-01-03 18:00,0.005,0,0.015,22.376
2015-01-03 23:00,2015-01-03 19:00,0,0,0,21.583
2015-01-04 00:00,2015-01-03 20:00,0,0,0,21.096
2015-01-04 01:00,2015-01-03 21:00,0,0,0,20.764
2015-01-04 02:00,2015-01-03 22:00,0,0,0,20.511
2015-01-04 03:00,2015-01-03 23:00,0,0,0,20.278
2015-01-04 04:00,2015-01-04 00:00,0,0,0,20.070
2015-01-04 05:00,2015-01-04 01:00,0,0,0,19.853
2015-01-04 06:00,2015-01-04 02:00,0,0,0,19.679
2015-01-04 07:00,2015-01-04 03:00,0,0,0,19.519
2015-01-04 08:00,2015-01-04 04:00,0,0,0,19.395
2015-01-04 09:00,2015-01-04 05:00,0,0,0.003,19.294
2015-01-04 10:00,2015-01-04 06:00,0.041,0.001,0.060,20.034
2015-01-04 11:00,2015-01-04 07:00,0.148,0.019,0.164,21.453
2015-01-04 12:00,2015-01-04 08:00,0.268,0.057,0.266,23.494
2015-01-04 13:00,2015-01-04 09:00,0.375,0.109,0.347,25.501
2015-01-04 14:00,2015-01-04 10:00,0.453,0.158,0.402,26.809
2015-01-04 15:00,2015-01-04 11:00,0.498,0.193,0.430,27.747
2015-01-04 16:00,2015-01-04 12:00,0.532,0.247,0.427,28.512
2015-01-04 17:00,2015-01-04 13:00,0.541,0.303,0.386,29.128
2015-01-04 18:00,2015-01-04 14:00,0.501,0.305,0.330,29.453
2015-01-04 19:00,2015-01-04 15:00,0.416,0.250,0.269,29.329
2015-01-04 20:00,2015-01-04 16:00,0.283,0.141,0.209,28.600
2015-01-04 21:00,2015-01-04 17:00,0.134,0.041,0.130,27.296
2015-01-04 22:00,2015-01-04 18:00,0.015,0,0.029,25.417
2015-01-04 23:00,2015-01-04 19:00,0,0,0,23.687
2015-01-05 00:00,2015-01-04 20:00,0,0,0,22.674
2015-01-05 01:00,2015-01-04 21:00,0,0,0,21.890
2015-01-05 02:00,2015-01-04 22:00,0,0,0,21.316
2015-01-05 03:00,2015-01-04 23:00,0,0,0,20.923
2015-01-05 04:00,2015-01-05 00:00,0,0,0,20.686
2015-01-05 05:00,2015-01-05 01:00,0,0,0,20.481
2015-01-05 06:00,2015-01-05 02:00,0,0,0,20.266
2015-01-05 07:00,2015-01-05 03:00,0,0,0,20.034
2015-01-05 08:00,2015-01-05 04:00,0,0,0,19.834
2015-01-05 09:00,2015-01-05 05:00,0,0,0.004,19.654
2015-01-05 10:00,2015-01-05 06:00,0.064,0.011,0.077,20.915
2015-01-05 11:00,2015-01-05 07:00,0.239,0.171,0.118,23.545
2015-01-05 12:00,2015-01-05 08:00,0.415,0.379,0.131,26.409
2015-01-05 13:00,2015-01-05 09:00,0.559,0.575,0.138,28.554
2015-01-05 14:00,2015-01-05 10:00,0.659,0.728,0.143,30.133
2015-01-05 15:00,2015-01-05 11:00,0.708,0.806,0.150,31.234
2015-01-05 16:00,2015-01-05 12:00,0.708,0.801,0.160,31.811
2015-01-05 17:00,2015-01-05 13:00,0.666,0.723,0.168,31.836
2015-01-05 18:00,2015-01-05 14:00,0.577,0.575,0.177,31.416
2015-01-05 19:00,2015-01-05 15:00,0.450,0.392,0.177,30.552
2015-01-05 20:00,2015-01-05 16:00,0.298,0.213,0.156,29.348
2015-01-05 21:00,2015-01-05 17:00,0.137,0.065,0.110,27.783
2015-01-05 22:00,2015-01-05 18:00,0.013,0,0.027,25.800
2015-01-05 23:00,2015-01-05 19:00,0,0,0,24.209
2015-01-06 00:00,2015-01-05 20:00,0,0,0,23.308
2015-01-06 01:00,2015-01-05 21:00,0,0,0,22.664
2015-01-06 02:00,2015-01-05 22:00,0,0,0,22.154
2015-01-06 03:00,2015-01-05 23:00,0,0,0,21.692
2015-01-06 04:00,2015-01-06 00:00,0,0,0,21.352
2015-01-06 05:00,2015-01-06 01:00,0,0,0,21.049
2015-01-06 06:00,2015-01-06 02:00,0,0,0,20.769
2015-01-06 07:00,2015-01-06 03:00,0,0,0,20.540
2015-01-06 08:00,2015-01-06 04:00,0,0,0,20.386
2015-01-06 09:00,2015-01-06 05:00,0,0,0.003,20.296
