Renewables.ninja Solar PV - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060,,,,,
time,local_time,output,direct,diffuse,temperature
UTC,America/La_Paz,kW,kW/m2,kW/m2,ºC
2017-01-01 00:00,2016-12-31 20:00,0,0,0,25.443
2017-01-01 01:00,2016-12-31 21:00,0,0,0,25.153
2017-01-01 02:00,2016-12-31 22:00,0,0,0,24.918
2017-01-01 03:00,2016-12-31 23:00,0,0,0,24.739
2017-01-01 04:00,2017-01-01 00:00,0,0,0,24.588
2017-01-01 05:00,2017-01-01 01:00,0,0,0,24.438
2017-01-01 06:00,2017-01-01 02:00,0,0,0,24.273
2017-01-01 07:00,2017-01-01 03:00,0,0,0,24.104
2017-01-01 08:00,2017-01-01 04:00,0,0,0,23.903
2017-01-01 09:00,2017-01-01 05:00,0,0,0,23.682
2017-01-01 10:00,2017-01-01 06:00,0.032,0.002,0.050,23.956
2017-01-01 11:00,2017-01-01 07:00,0.151,0.030,0.158,24.660
2017-01-01 12:00,2017-01-01 08:00,0.296,0.107,0.252,25.735
2017-01-01 13:00,2017-01-01 09:00,0.433,0.230,0.306,27.061
2017-01-01 14:00,2017-01-01 10:00,0.537,0.357,0.324,28.475
2017-01-01 15:00,2017-01-01 11:00,0.603,0.461,0.321,29.748
2017-01-01 16:00,2017-01-01 12:00,0.616,0.490,0.317,30.587
2017-01-01 17:00,2017-01-01 13:00,0.591,0.468,0.303,31.027
2017-01-01 18:00,2017-01-01 14:00,0.515,0.373,0.287,31.066
2017-01-01 19:00,2017-01-01 15:00,0.420,0.287,0.242,30.857
2017-01-01 20:00,2017-01-01 16:00,0.277,0.149,0.195,30.333
2017-01-01 21:00,2017-01-01 17:00,0.113,0.030,0.118,29.445
2017-01-01 22:00,2017-01-01 18:00,0.006,0,0.018,27.916
2017-01-01 23:00,2017-01-01 19:00,0,0,0,26.636
2017-01-02 00:00,2017-01-01 20:00,0,0,0,26.022
2017-01-02 01:00,2017-01-01 21:00,0,0,0,25.554
2017-01-02 02:00,2017-01-01 22:00,0,0,0,25.099
2017-01-02 03:00,2017-01-01 23:00,0,0,0,24.671
2017-01-02 04:00,2017-01-02 00:00,0,0,0,24.314
2017-01-02 05:00,2017-01-02 01:00,0,0,0,24.018
2017-01-02 06:00,2017-01-02 02:00,0,0,0,23.780
2017-01-02 07:00,2017-01-02 03:00,0,0,0,23.571
2017-01-02 08:00,2017-01-02 04:00,0,0,0,23.440
2017-01-02 09:00,2017-01-02 05:00,0,0,0,23.446
2017-01-02 10:00,2017-01-02 06:00,0.020,0.001,0.035,23.889
2017-01-02 11:00,2017-01-02 07:00,0.081,0.004,0.104,24.627
2017-01-02 12:00,2017-01-02 08:00,0.135,0.008,0.164,25.587
2017-01-02 13:00,2017-01-02 09:00,0.196,0.014,0.229,26.322
2017-01-02 14:00,2017-01-02 10:00,0.298,0.034,0.330,27.224
2017-01-02 15:00,2017-01-02 11:00,0.431,0.106,0.429,28.251
2017-01-02 16:00,2017-01-02 12:00,0.550,0.280,0.423,29.293
2017-01-02 17:00,2017-01-02 13:00,0.585,0.417,0.341,30.024
2017-01-02 18:00,2017-01-02 14:00,0.551,0.442,0.267,30.345
2017-01-02 19:00,2017-01-02 15:00,0.461,0.376,0.207,30.318
2017-01-02 20:00,2017-01-02 16:00,0.313,0.224,0.164,29.936
2017-01-02 21:00,2017-01-02 17:00,0.138,0.067,0.111,29.262
2017-01-02 22:00,2017-01-02 18:00,0.008,0,0.020,27.896
2017-01-02 23:00,2017-01-02 19:00,0,0,0,26.739
2017-01-03 00:00,2017-01-02 20:00,0,0,0,26.283
2017-01-03 01:00,2017-01-02 21:00,0,0,0,25.793
2017-01-03 02:00,2017-01-02 22:00,0,0,0,25.246
2017-01-03 03:00,2017-01-02 23:00,0,0,0,24.761
2017-01-03 04:00,2017-01-03 00:00,0,0,0,24.392
2017-01-03 05:00,2017-01-03 01:00,0,0,0,24.079
2017-01-03 06:00,2017-01-03 02:00,0,0,0,23.879
2017-01-03 07:00,2017-01-03 03:00,0,0,0,23.725
2017-01-03 08:00,2017-01-03 04:00,0,0,0,23.591
2017-01-03 09:00,2017-01-03 05:00,0,0,0,23.488
2017-01-03 10:00,2017-01-03 06:00,0.031,0.001,0.048,23.901
2017-01-03 11:00,2017-01-03 07:00,0.156,0.031,0.164,24.903
2017-01-03 12:00,2017-01-03 08:00,0.305,0.110,0.262,26.476
2017-01-03 13:00,2017-01-03 09:00,0.430,0.209,0.324,28.023
2017-01-03 14:00,2017-01-03 10:00,0.520,0.295,0.367,29.662
2017-01-03 15:00,2017-01-03 11:00,0.528,0.256,0.420,30.583
2017-01-03 16:00,2017-01-03 12:00,0.486,0.176,0.443,30.938
2017-01-03 17:00,2017-01-03 13:00,0.451,0.146,0.425,31.135
2017-01-03 18:00,2017-01-03 14:00,0.414,0.138,0.384,31.210
2017-01-03 19:00,2017-01-03 15:00,0.306,0.076,0.306,30.904
2017-01-03 20:00,2017-01-03 16:00,0.208,0.043,0.218,30.532
2017-01-03 21:00,2017-01-03 17:00,0.087,0.011,0.108,29.763
2017-01-03 22:00,2017-01-03 18:00,0.005,0,0.015,28.428
2017-01-03 23:00,2017-01-03 19:00,0,0,0,27.359
2017-01-04 00:00,2017-01-03 20:00,0,0,0,26.748
2017-01-04 01:00,2017-01-03 21:00,0,0,0,26.168
2017-01-04 02:00,2017-01-03 22:00,0,0,0,25.688
2017-01-04 03:00,2017-01-03 23:00,0,0,0,25.311
2017-01-04 04:00,2017-01-04 00:00,0,0,0,25.042
