Renewables.ninja Solar PV - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060,,,,,
time,local_time,output,direct,diffuse,temperature
UTC,America/La_Paz,kW,kW/m2,kW/m2,ºC
2015-01-01 00:00,2014-12-31 20:00,0,0,0,25.870
2015-01-01 01:00,2014-12-31 21:00,0,0,0,25.453
2015-01-01 02:00,2014-12-31 22:00,0,0,0,25.064
2015-01-01 03:00,2014-12-31 23:00,0,0,0,24.704
2015-01-01 04:00,2015-01-01 00:00,0,0,0,24.404
2015-01-01 05:00,2015-01-01 01:00,0,0,0,24.167
2015-01-01 06:00,2015-01-01 02:00,0,0,0,24.005
2015-01-01 07:00,2015-01-01 03:00,0,0,0,23.916
2015-01-01 08:00,2015-01-01 04:00,0,0,0,23.837
2015-01-01 09:00,2015-01-01 05:00,0,0,0,23.758
2015-01-01 10:00,2015-01-01 06:00,0.010,0,0.023,23.809
2015-01-01 11:00,2015-01-01 07:00,0.092,0.009,0.113,24.463
2015-01-01 12:00,2015-01-01 08:00,0.210,0.036,0.222,25.622
2015-01-01 13:00,2015-01-01 09:00,0.323,0.080,0.315,26.887
2015-01-01 14:00,2015-01-01 10:00,0.439,0.164,0.382,28.039
2015-01-01 15:00,2015-01-01 11:00,0.528,0.269,0.401,28.966
2015-01-01 16:00,2015-01-01 12:00,0.572,0.346,0.390,29.625
2015-01-01 17:00,2015-01-01 13:00,0.558,0.345,0.372,29.945
2015-01-01 18:00,2015-01-01 14:00,0.509,0.309,0.339,29.950
2015-01-01 19:00,2015-01-01 15:00,0.406,0.206,0.301,29.680
2015-01-01 20:00,2015-01-01 16:00,0.268,0.096,0.236,29.162
2015-01-01 21:00,2015-01-01 17:00,0.130,0.029,0.139,28.373
2015-01-01 22:00,2015-01-01 18:00,0.014,0.001,0.028,27.242
2015-01-01 23:00,2015-01-01 19:00,0,0,0,26.158
2015-01-02 00:00,2015-01-01 20:00,0,0,0,25.485
2015-01-02 01:00,2015-01-01 21:00,0,0,0,25.023
2015-01-02 02:00,2015-01-01 22:00,0,0,0,24.586
2015-01-02 03:00,2015-01-01 23:00,0,0,0,24.150
2015-01-02 04:00,2015-01-02 00:00,0,0,0,23.762
2015-01-02 05:00,2015-01-02 01:00,0,0,0,23.440
2015-01-02 06:00,2015-01-02 02:00,0,0,0,23.230
2015-01-02 07:00,2015-01-02 03:00,0,0,0,23.129
2015-01-02 08:00,2015-01-02 04:00,0,0,0,23.069
2015-01-02 09:00,2015-01-02 05:00,0,0,0,22.958
2015-01-02 10:00,2015-01-02 06:00,0.017,0,0.032,23.079
2015-01-02 11:00,2015-01-02 07:00,0.143,0.042,0.137,24.268
2015-01-02 12:00,2015-01-02 08:00,0.309,0.167,0.207,25.575
2015-01-02 13:00,2015-01-02 09:00,0.471,0.360,0.224,26.760
2015-01-02 14:00,2015-01-02 10:00,0.592,0.535,0.224,28.119
2015-01-02 15:00,2015-01-02 11:00,0.654,0.621,0.236,29.051
2015-01-02 16:00,2015-01-02 12:00,0.644,0.567,0.278,29.588
2015-01-02 17:00,2015-01-02 13:00,0.602,0.476,0.306,29.866
2015-01-02 18:00,2015-01-02 14:00,0.504,0.302,0.338,29.757
2015-01-02 19:00,2015-01-02 15:00,0.313,0.079,0.307,29.088
2015-01-02 20:00,2015-01-02 16:00,0.183,0.025,0.204,28.270
2015-01-02 21:00,2015-01-02 17:00,0.070,0.005,0.092,27.436
2015-01-02 22:00,2015-01-02 18:00,0.005,0,0.015,26.599
2015-01-02 23:00,2015-01-02 19:00,0,0,0,25.856
2015-01-03 00:00,2015-01-02 20:00,0,0,0,25.593
2015-01-03 01:00,2015-01-02 21:00,0,0,0,25.378
2015-01-03 02:00,2015-01-02 22:00,0,0,0,25.178
2015-01-03 03:00,2015-01-02 23:00,0,0,0,24.979
2015-01-03 04:00,2015-01-03 00:00,0,0,0,24.754
2015-01-03 05:00,2015-01-03 01:00,0,0,0,24.479
2015-01-03 06:00,2015-01-03 02:00,0,0,0,24.163
2015-01-03 07:00,2015-01-03 03:00,0,0,0,23.813
2015-01-03 08:00,2015-01-03 04:00,0,0,0,23.483
2015-01-03 09:00,2015-01-03 05:00,0,0,0,23.169
2015-01-03 10:00,2015-01-03 06:00,0.011,0,0.023,22.950
2015-01-03 11:00,2015-01-03 07:00,0.112,0.012,0.132,23.288
2015-01-03 12:00,2015-01-03 08:00,0.199,0.023,0.219,23.818
2015-01-03 13:00,2015-01-03 09:00,0.262,0.030,0.288,24.190
2015-01-03 14:00,2015-01-03 10:00,0.346,0.049,0.369,24.635
2015-01-03 15:00,2015-01-03 11:00,0.414,0.076,0.430,25.249
2015-01-03 16:00,2015-01-03 12:00,0.448,0.094,0.458,25.974
2015-01-03 17:00,2015-01-03 13:00,0.389,0.060,0.417,26.375
2015-01-03 18:00,2015-01-03 14:00,0.304,0.032,0.339,26.376
2015-01-03 19:00,2015-01-03 15:00,0.217,0.016,0.250,26.139
2015-01-03 20:00,2015-01-03 16:00,0.138,0.008,0.167,25.844
2015-01-03 21:00,2015-01-03 17:00,0.056,0.002,0.079,25.580
2015-01-03 22:00,2015-01-03 18:00,0.004,0,0.014,25.198
2015-01-03 23:00,2015-01-03 19:00,0,0,0,24.543
2015-01-04 00:00,2015-01-03 20:00,0,0,0,23.978
2015-01-04 01:00,2015-01-03 21:00,0,0,0,23.672
2015-01-04 02:00,2015-01-03 22:00,0,0,0,23.504
2015-01-04 03:00,2015-01-03 23:00,0,0,0,23.448
2015-01-04 04:00,2015-01-04 00:00,0,0,0,23.360
2015-01-04 05:00,2015-01-04 01:00,0,0,0,23.219
2015-01-04 06:00,2015-01-04 02:00,0,0,0,23.052
2015-01-04 07:00,2015-01-04 03:00,0,0,0,22.863
2015-01-04 08:00,2015-01-04 04:00,0,0,0,22.650
2015-01-04 09:00,2015-01-04 05:00,0,0,0,22.432
2015-01-04 10:00,2015-01-04 06:00,0.017,0,0.032,22.475
2015-01-04 11:00,2015-01-04 07:00,0.136,0.037,0.134,23.412
2015-01-04 12:00,2015-01-04 08:00,0.276,0.113,0.221,24.436
2015-01-04 13:00,2015-01-04 09:00,0.415,0.232,0.275,25.504
2015-01-04 14:00,2015-01-04 10:00,0.520,0.348,0.304,27.108
2015-01-04 15:00,2015-01-04 11:00,0.582,0.434,0.312,28.345
2015-01-04 16:00,2015-01-04 12:00,0.645,0.575,0.269,29.050
2015-01-04 17:00,2015-01-04 13:00,0.635,0.586,0.245,29.407
2015-01-04 18:00,2015-01-04 14:00,0.574,0.511,0.228,29.498
2015-01-04 19:00,2015-01-04 15:00,0.468,0.376,0.213,29.334
2015-01-04 20:00,2015-01-04 16:00,0.296,0.163,0.202,28.854
2015-01-04 21:00,2015-01-04 17:00,0.154,0.064,0.131,28.293
2015-01-04 22:00,2015-01-04 18:00,0.016,0.001,0.030,27.575
2015-01-04 23:00,2015-01-04 19:00,0,0,0,26.613
2015-01-05 00:00,2015-01-04 20:00,0,0,0,25.853
2015-01-05 01:00,2015-01-04 21:00,0,0,0,25.158
2015-01-05 02:00,2015-01-04 22:00,0,0,0,24.639
2015-01-05 03:00,2015-01-04 23:00,0,0,0,24.313
2015-01-05 04:00,2015-01-05 00:00,0,0,0,24.131
2015-01-05 05:00,2015-01-05 01:00,0,0,0,24.010
2015-01-05 06:00,2015-01-05 02:00,0,0,0,23.918
2015-01-05 07:00,2015-01-05 03:00,0,0,0,23.803
2015-01-05 08:00,2015-01-05 04:00,0,0,0,23.661
