,NPC,Households,PV output,LLP,Diesel Cost,Renewable invesment cost,Genererator invesment cost,Battery invesment cost,Battery operation cost,PV nominal capacity,Genset nominal capacity,Battery nominal capacity
1,194140.843831034,104,0,0.0469,1.027,1.646,1.537,0.484,2.97727272727273E-05,22701.5856874148,10040.3798951845,24237.8268484744
2,179197.522312411,92,8,0.0469,1.027,1.646,1.537,0.484,2.97727272727273E-05,20143.3362858866,9780.03332786367,14820.4296306209
3,167544.626803726,80,1,0.013,1.152,1.438,1.611,0.497,3.125E-05,22815.0173835114,7938.24104038379,40342.583669375
4,144912.902926576,104,2,0.0381,0.617,1.714,1.623,0.548,3.70454545454545E-05,13534.218832271,13461.2662998758,0
5,92337.4932436041,104,3,0.0319,0.298,1.333,1.565,0.686,5.27272727272727E-05,9372.6179584196,13825.9218017434,0
6,100957.460823874,92,3,0.0434,0.402,1.559,1.684,0.445,2.53409090909091E-05,9359.23748936909,11955.2265809617,0
7,180251.210417161,104,3,0.004,0.967,1.491,1.337,0.416,2.20454545454545E-05,26917.6260841092,9707.48583563021,46289.2967429796
8,112667.128218916,104,0,0.0434,0.402,1.559,1.684,0.445,2.53409090909091E-05,10134.9300379164,13162.8712858093,0
9,174361.946289251,80,5,0.013,1.152,1.438,1.611,0.497,3.125E-05,23581.3955429751,8451.26476931574,32605.6548379003
10,174149.653424485,92,0,0.0469,1.027,1.646,1.537,0.484,2.97727272727273E-05,19857.8750642241,9202.7373,20661.908565379
11,189367.176073873,104,9,0.004,0.967,1.491,1.337,0.416,2.20454545454545E-05,27924.0820516939,10460.9188763214,37844.8147235351
12,125013.599755099,80,1,0.0156,0.7,1.546,1.417,0.598,4.27272727272727E-05,12139.9309099793,12837.0284213895,0
13,115744.441408984,92,8,0.0286,0.542,1.393,1.365,0.658,4.95454545454546E-05,12872.7840007136,12726.5682999347,0
14,202044.540259982,104,4,0.0469,1.027,1.646,1.537,0.484,2.97727272727273E-05,22787.7523244067,11061.5366501539,14650.2716979416
15,167269.010817797,80,2,0.013,1.152,1.438,1.611,0.497,3.125E-05,22786.6429625406,7945.77176222119,40150.973063634
16,106369.198102925,80,7,0.0286,0.542,1.393,1.365,0.658,4.95454545454546E-05,11278.1202187729,12056.4818368877,0
17,189288.071057248,104,7,0.004,0.967,1.491,1.337,0.416,2.20454545454545E-05,27582.5629415317,10528.8071477096,37198.5085945691
18,154867.88234497,80,9,0.004,0.967,1.491,1.337,0.416,2.20454545454545E-05,22104.6379062975,9006.21411396643,31257.9815575382
19,92200.4210585736,104,2,0.0319,0.298,1.333,1.565,0.686,5.27272727272727E-05,9243.17974514152,13825.3207745662,0
20,116677.13156441,92,6,0.0286,0.542,1.393,1.365,0.658,4.95454545454546E-05,12812.4787958754,12729.4366384535,0
21,169888.251260743,92,9,0.004,0.967,1.491,1.337,0.416,2.20454545454545E-05,24598.7333492889,9581.69362516688,33560.2341391714
