LLP,Diesel Cost,Demand,PV energy,Renewable invesment cost,Genererator invesment cost,Battery invesment cost,LCOE,NPC
2.11,0.834,75905147.9040892,503823.180031419,1.562,1.661,0.487,0.257083143057829,145758.229882822
0.18,0.725,136752178.826227,417993.759568193,1.616,1.411,0.501,0.241911829636207,247103.908302645
0.71,0.716,84971598.4946137,492204.23748792,1.661,1.464,0.542,0.23567750157595,149582.286544535
0.23,0.56,105671890.448763,492204.23748792,1.531,1.608,0.41,0.202641673020686,159947.145211903
2.5,0.487,84971598.4946137,498978.767180072,1.343,1.445,0.464,0.176320578880148,111909.007764363
3.68,0.552,120443412.640707,498978.767180072,1.441,1.616,0.507,0.202267000686947,181968.5525975
2.33,0.958,120703373.658017,503823.180031419,1.742,1.322,0.595,0.27962732749203,252108.375840176
4.31,0.624,110326321.232038,498978.767180072,1.48,1.656,0.463,0.210381424076176,173370.332228945
2.79,1.128,154222876.816518,492204.23748792,1.354,1.438,0.557,0.293592455482433,338206.496075873
2.42,0.746,145702617.80883,503823.180031419,1.632,1.459,0.565,0.233988230613693,254653.483746802
1.14,0.534,84971598.4946137,417993.759568193,1.754,1.385,0.406,0.203201233387145,128969.905550885
1.88,1.046,136752178.826227,417993.759568193,1.795,1.564,0.442,0.310921301664711,317594.509253369
3.34,0.503,110326321.232038,492204.23748792,1.799,1.375,0.421,0.188390927439401,155248.48651686
3.17,0.706,154222876.816518,492204.23748792,1.749,1.316,0.595,0.227068177019903,261573.249196905
1.74,0.555,128208122.829654,417993.759568193,1.77,1.574,0.457,0.210890233460095,201957.628737104
1.54,0.961,136752178.826227,500994.568547431,1.563,1.3,0.469,0.268404750533434,274165.438554813
0.34,0.883,120703373.658017,492204.23748792,1.455,1.558,0.564,0.265800090656585,239641.918243892
4.78,0.396,84971598.4946137,417993.759568193,1.471,1.517,0.462,0.166455884923439,105647.979587131
0.16,0.586,120703373.658017,498978.767180072,1.473,1.626,0.449,0.205846911296533,185588.908438017
4.56,0.502,145702617.80883,500994.568547431,1.627,1.647,0.415,0.188428935948127,205070.506546604
2.11,0.448,128208122.829654,417993.759568193,1.635,1.493,0.524,0.180935721462054,173271.889649778
4.66,0.508,154222876.816518,492204.23748792,1.568,1.549,0.454,0.186755219970352,215134.37212228
3.28,0.761,145702617.80883,417993.759568193,1.311,1.619,0.474,0.239575212917885,260733.894302763
4.23,1.274,154222876.816518,503823.180031419,1.76,1.302,0.487,0.320234247390005,368896.750276842
4.75,0.71,154222876.816518,498978.767180072,1.756,1.589,0.469,0.231880585675809,267116.947063816
1.28,0.808,154222876.816518,492204.23748792,1.798,1.368,0.561,0.251757217054763,290014.013139378
1.59,0.714,145702617.80883,500994.568547431,1.766,1.432,0.559,0.23187547138204,252354.130923595
3.84,0.747,68635646.7221124,500994.568547431,1.777,1.34,0.428,0.239599115807256,122835.301177719
4.91,1.274,105671890.448763,417993.759568193,1.531,1.637,0.581,0.347662683380557,274413.712019408
2,1.069,145702617.80883,417993.759568193,1.666,1.509,0.545,0.311831397678085,339371.563911948
2.91,0.588,75905147.9040892,498978.767180072,1.353,1.32,0.498,0.19523075013671,110689.826723572
3.04,1.079,136752178.826227,500994.568547431,1.631,1.448,0.499,0.2925883308633,298868.06357835
4.86,0.351,105671890.448763,503823.180031419,1.432,1.332,0.591,0.146185777670883,115385.929559774
3.28,0.906,68635646.7221124,492204.23748792,1.482,1.452,0.415,0.262697896862402,134677.355428159
4.03,1.107,75905147.9040892,498978.767180072,1.423,1.519,0.574,0.299002432347276,169525.176762732
4.2,0.535,68635646.7221124,417993.759568193,1.54,1.339,0.587,0.19754878665796,101277.354988005
2.52,0.646,154222876.816518,498978.767180072,1.318,1.579,0.505,0.20750578018762,239038.168461875
4.54,0.696,110326321.232038,500994.568547431,1.798,1.515,0.42,0.230092206501263,189613.51963266
3.27,1.191,75905147.9040892,503823.180031419,1.752,1.538,0.419,0.311351297511186,176526.603250459
4.62,0.686,120703373.658017,498978.767180072,1.603,1.517,0.58,0.224538482975415,202440.987310735
0.9,0.629,105671890.448763,417993.759568193,1.784,1.543,0.484,0.230771535871109,182150.333682757
0.84,0.813,145702617.80883,417993.759568193,1.417,1.342,0.423,0.249051021356212,271046.582354673
1.33,0.483,75905147.9040892,417993.759568193,1.527,1.417,0.434,0.186917241920584,105976.323429323
1.53,0.931,154222876.816518,500994.568547431,1.43,1.375,0.571,0.261691284277878,301457.65211774
1.07,1.258,105671890.448763,500994.568547431,1.669,1.305,0.439,0.320033145190935,252605.434920837
2.26,0.731,105671890.448763,417993.759568193,1.588,1.47,0.418,0.244155212229333,192714.206325673
3.61,0.43,136752178.826227,498978.767180072,1.729,1.514,0.465,0.172495270803498,176197.483369734
3.99,0.657,84971598.4946137,498978.767180072,1.64,1.68,0.552,0.223637134363608,141940.379080247
